retrieval_strategy,chunking_strategy,top_k,citation_grounding,hallucination_rate,faithfulness,context_precision,context_recall,answer_f1,answer_em,latency_mean_s,latency_p95_s,token_cost_mean,index_time_seconds
R1_dense,C1_fixed_256,1,G0_disabled,0.553333333,0.424768639,0.526666667,0.201892216,0.060586376,0,2.267619366,5.096523808,626.6,464.2447971
R1_dense,C1_fixed_256,1,G1_enabled,0.513333333,0.423327783,0.526666667,0.204766726,0.072172107,0,1.865870087,5.033404098,676,464.2447971
R1_dense,C1_fixed_256,3,G0_disabled,0.553333333,0.653708921,0.515555556,0.321732847,0.049201354,0,2.140266278,6.43057325,1498.673333,464.2447971
R1_dense,C1_fixed_256,3,G1_enabled,0.64,0.78760513,0.515555556,0.321732847,0.071281958,0,2.494758454,5.587029149,1576.726667,464.2447971
R1_dense,C1_fixed_256,5,G1_enabled,0.653333333,0.8804133,0.516,0.375947151,0.082916461,0,2.794049118,6.727905322,2422.693333,437.0721278
R1_dense,C1_fixed_256,10,G0_disabled,0.52,0.980216931,0.52,0.423544434,0.081885216,0,3.842849393,6.874290103,4539.173333,477.5532486
R1_dense,C1_fixed_256,10,G1_enabled,0.506666667,0.977328042,0.52,0.423544434,0.085318797,0,3.871313099,7.033536249,4591.893333,477.5532486
R1_dense,C2_fixed_512,1,G0_disabled,0.62,0.552285151,0.606666667,0.286354682,0.067784897,0,2.134531022,6.493324697,1086.526667,770.4513568
R1_dense,C2_fixed_512,1,G1_enabled,0.68,0.574061698,0.606666667,0.286960743,0.071257872,0,2.184575236,6.023392133,1140.693333,770.4513568
R1_dense,C2_fixed_512,3,G0_disabled,0.626666667,0.834800625,0.58,0.38247209,0.061618322,0,3.085953875,7.602722096,2837.833333,770.4513568
R1_dense,C2_fixed_512,3,G1_enabled,0.513333333,0.895977531,0.58,0.38247209,0.081053804,0,3.272568603,7.859052046,2906.8,770.4513568
R1_dense,C2_fixed_512,5,G0_disabled,0.466666667,0.969925685,0.573333333,0.411681532,0.084594126,0,3.929595543,7.188783308,4586.413333,770.4513568
R1_dense,C2_fixed_512,5,G1_enabled,0.46,0.968453463,0.573333333,0.411681532,0.083006542,0,4.081434246,7.314314826,4648.18,770.4513568
